segment,trial,tag,note,velocity,hold_s,onset_s
rate_ladder_attack_5,0,env_attack=-5/level=127,60,100,2.500,4.1551
rate_ladder_attack_5,1,env_attack=-5/level=123,60,100,2.500,8.4089
rate_ladder_attack_5,2,env_attack=-5/level=119,60,100,2.500,12.6642
rate_ladder_attack_5,3,env_attack=-5/level=115,60,100,2.500,16.9180
rate_ladder_attack_5,4,env_attack=-5/level=111,60,100,2.500,21.1727
rate_ladder_attack_5,5,env_attack=-5/level=107,60,100,2.500,25.4268
rate_ladder_attack_5,6,env_attack=-5/level=103,60,100,2.500,29.6813
rate_ladder_attack_5,7,env_attack=-5/level=99,60,100,2.500,33.9363
rate_ladder_attack_5,8,env_attack=-5/level=95,60,100,2.500,38.1913
rate_ladder_attack_5,9,env_attack=-5/level=91,60,100,2.500,42.4465
rate_ladder_attack_5,10,env_attack=-5/level=87,60,100,2.500,46.7015
rate_ladder_attack_5,11,env_attack=-5/level=83,60,100,2.500,50.9557
rate_ladder_attack_5,12,env_attack=-5/level=79,60,100,2.500,55.2095
rate_ladder_attack_5,13,env_attack=-5/level=75,60,100,2.500,59.4630
rate_ladder_attack_5,14,env_attack=-5/level=71,60,100,2.500,63.7169
rate_ladder_attack_5,15,env_attack=-5/level=67,60,100,2.500,67.9710
rate_ladder_attack_5,16,env_attack=-5/level=63,60,100,2.500,72.2258
rate_ladder_attack_5,17,env_attack=-5/level=59,60,100,2.500,76.4790
rate_ladder_attack_5,18,env_attack=-5/level=55,60,100,2.500,80.7338
rate_ladder_attack_5,19,env_attack=-5/level=51,60,100,2.500,84.9880
rate_ladder_attack_5,20,env_attack=-5/level=47,60,100,2.500,89.2431
rate_ladder_attack_5,21,env_attack=-5/level=43,60,100,2.500,93.4978
rate_ladder_attack_6,0,env_attack=-6/level=127,60,100,2.500,101.2559
rate_ladder_attack_6,1,env_attack=-6/level=123,60,100,2.500,105.5110
rate_ladder_attack_6,2,env_attack=-6/level=119,60,100,2.500,109.7660
rate_ladder_attack_6,3,env_attack=-6/level=115,60,100,2.500,114.0207
rate_ladder_attack_6,4,env_attack=-6/level=111,60,100,2.500,118.2763
rate_ladder_attack_6,5,env_attack=-6/level=107,60,100,2.500,122.5313
rate_ladder_attack_6,6,env_attack=-6/level=103,60,100,2.500,126.7863
rate_ladder_attack_6,7,env_attack=-6/level=99,60,100,2.500,131.0412
rate_ladder_attack_6,8,env_attack=-6/level=95,60,100,2.500,135.2959
rate_ladder_attack_6,9,env_attack=-6/level=91,60,100,2.500,139.5510
rate_ladder_attack_6,10,env_attack=-6/level=87,60,100,2.500,143.8055
rate_ladder_attack_6,11,env_attack=-6/level=83,60,100,2.500,148.0606
rate_ladder_attack_6,12,env_attack=-6/level=79,60,100,2.500,152.3150
rate_ladder_attack_6,13,env_attack=-6/level=75,60,100,2.500,156.5702
rate_ladder_attack_6,14,env_attack=-6/level=71,60,100,2.500,160.8251
rate_ladder_attack_6,15,env_attack=-6/level=67,60,100,2.500,165.0804
rate_ladder_attack_6,16,env_attack=-6/level=63,60,100,2.500,169.3354
rate_ladder_attack_6,17,env_attack=-6/level=59,60,100,2.500,173.5905
rate_ladder_attack_6,18,env_attack=-6/level=55,60,100,2.500,177.8456
rate_ladder_attack_6,19,env_attack=-6/level=51,60,100,2.500,182.1004
rate_ladder_attack_6,20,env_attack=-6/level=47,60,100,2.500,186.3557
rate_ladder_attack_6,21,env_attack=-6/level=43,60,100,2.500,190.6108
rate_ladder_release,0,env_release=-4/level=127,60,100,1.000,198.3703
rate_ladder_release,1,env_release=-4/level=123,60,100,1.000,202.7257
rate_ladder_release,2,env_release=-4/level=119,60,100,1.000,207.0809
rate_ladder_release,3,env_release=-4/level=115,60,100,1.000,211.4360
rate_ladder_release,4,env_release=-4/level=111,60,100,1.000,215.7913
rate_ladder_release,5,env_release=-4/level=107,60,100,1.000,220.1468
rate_ladder_release,6,env_release=-4/level=103,60,100,1.000,224.5021
rate_ladder_release,7,env_release=-4/level=99,60,100,1.000,228.8573
rate_ladder_release,8,env_release=-4/level=95,60,100,1.000,233.2120
rate_ladder_release,9,env_release=-4/level=91,60,100,1.000,237.5651
rate_ladder_release,10,env_release=-4/level=87,60,100,1.000,241.9208
rate_ladder_release,11,env_release=-4/level=83,60,100,1.000,246.2765
rate_ladder_release,12,env_release=-4/level=79,60,100,1.000,250.6315
rate_ladder_release,13,env_release=-4/level=75,60,100,1.000,254.9870
rate_ladder_release,14,env_release=-4/level=71,60,100,1.000,259.3416
rate_ladder_release,15,env_release=-4/level=67,60,100,1.000,263.6967
rate_ladder_release,16,env_release=-4/level=63,60,100,1.000,268.0520
rate_ladder_release,17,env_release=-4/level=59,60,100,1.000,272.4074
rate_ladder_release,18,env_release=-4/level=55,60,100,1.000,276.7628
rate_ladder_release,19,env_release=-4/level=51,60,100,1.000,281.1179
rate_ladder_release,20,env_release=-4/level=47,60,100,1.000,285.4732
rate_ladder_release,21,env_release=-4/level=43,60,100,1.000,289.8280
slow_release_vib,0,env_release=-7,60,100,1.000,297.6852
slow_release_vib,1,env_release=-6,60,100,1.000,323.8600
slow_release_vib,2,env_release=-5,60,100,1.000,350.0370
slow_release_vib,3,env_release=-4,60,100,1.000,376.2139
slow_release_choir,0,env_release=-7,60,100,1.000,405.8943
slow_release_choir,1,env_release=-6,60,100,1.000,432.0712
slow_release_choir,2,env_release=-5,60,100,1.000,458.2485
slow_release_choir,3,env_release=-4,60,100,1.000,484.4255
